data-id;url;url-2;author;year ;name;description;section;price
12;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_bigsleep.jpg?w=260;img/book_title/12;Raymond Chandler;1939;The Big Sleep;I was neat, clean, shaved and sober, and I didn't care who knew it. I was everything the well-dressed private detective ought to be.' This sentence, from the first paragraph of The Big Sleep, marks the last time you can be fully confident that you know what's going on. The first novel by Raymond Chandler, who at the time was a 51-year-old former oil company executive, is a mosaic of shadows, a dark tracery of forking paths. Along them wanders Philip Marlowe, a cynical, perfectly hard-boiled private investigator hired by an old millionaire to find the husband of his beautiful, bitchy wildcat daughter. Marlowe is tough and determined, and he does his best to be a good guy, but there are no true heroes in Chandler's sun-baked, godforsaken Los Angeles, and every plot turn reveals how truly twisted the human heart is.;Pre-orders;15.00
13;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_blindassassin.jpg?w=260;img/book_title/13;Margaret Atwood;2000;The Blind Assassin;Frosty, reserved Iris and her hot-blooded sister Laura grow up wealthy and privileged in a chilly Canadian town. But when the family fortune falters in the Depression, Iris is married off to a cruel industrialist, and Laura drives her car off a bridge, leaving behind a pulpy science fiction novel (presented in parallel to the primary plot) that seems to contain a coded, masked guide to the secrets that ruled her life and brought about her early death. Told in the brittle, acerbic voice of the elderly Iris, who is left behind to decode Laura's legacy, The Blind Assassin is a tour-de-force of nested narratives, subtle reveals and buried memories.;New;8.99
14;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_bloodmeridian_copy.jpg?w=260;img/book_title/14;Cormac McCarthy;1986;Blood Meridian;The floor of the playa lay smooth and unbroken by any track and the mountains in their blue islands stood footless in the void like floating temples.' McCarthy's prose has the character of the landscape it describes: Harsh and pure, as if it had been sculpted by wind and sand, like a naturally occurring phenomenon. In Blood Meridian McCarthy uses it to spin a yarn of gothic violence: In the 1840's a young boy joins a band of cutthroats who hunt Indians on the border between Texas and Mexico, under the leadership of an amoral, albino arch-monster known as the Judge. Rarely has literature presented spectacles of violence more extreme or less gratuitous. Blood Meridian summons up shadows of Dante and Melville, and demands of every reader that they reexamine why and how they cling to morality in a fallen world.;Pre-orders;16.00
15;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_brideshead-revisited1st_copy.jpg?w=260;img/book_title/15;Evelyn Waugh;1946;Brideshead Revisited;Once and only once in his career the bitter, urbane, howlingly funny satirist Evelyn Waugh screwed up all his nerve and his talent and produced a genuine literary masterpiece. Though it's saddled with a faded doily of a title, Brideshead Revisited is actually a wildly entertaining, swooningly funny-sad story about an impressionable young man, Charles Ryder, who goes to Oxford in the 1930's and falls in love with a family: the wealthy, eccentric, aristocratic Flytes, owners of a grand old country house called Brideshead. In the first half of the book the exquisite, hilariously fey Sebastian Flyte, who is Charles's classmate, teaches the young man about beauty, booze and witty conversation. In the second half every one grows up and everything goes spectacularly to smash. Told in flashbacks from the dark days of WWII, Brideshead is aglimmer with the guttering-candle glow of an elegant age that was already passing away.;Pre-orders;25.00
16;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_bridge-of-san-luis-rey_copy.jpg?w=260;img/book_title/16;Thornton Wilder;1927;The Bridge of San Luis Rey;Whatever happened to Wilder? He was a lion in his day, prized   Pulitzer-prized, as this book was   a star of stage and page. Today, notwithstanding the occasional production of Our Town or The Skin of Our Teeth, he's ever in danger of falling out of fashion. He seems too courtly, too composed. For proof of how powerful those qualities can be, there's this book. In 1714, 'the finest bridge in all Peru' collapses and five people plunge to their deaths. Brother Juniper, a Franciscan missionary, decides to track down their individual stories to prove that even what seem to be random misfortunes are consistent with God's plan. That his discoveries turn out to be more complex will come as no surprise. What may surprise are the beguilements of Wilder's teasing, ironic, beautifully written tale, unlike anything else in American fiction.;New;7.99
17;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_callitsleep_copy.jpg?w=260;img/book_title/17;Henry Roth;1935;Call It Sleep;"New York City, 1911. A young, painfully sensitive boy named David is growing up in the grimy Jewish slums of the Lower East Side, with his unemployable, rageoholic father and his angelic, nurturing mother. Call It Sleep has the setting of a gritty, naturalistic political novel and it works perfectly well as such but it is at heart a profoundly interior book. Roth tirelessly and unflinchingly records the daily damage that the harshness of slum life inflicts on David's quiveringly receptive, emotionally defenseless consciousness; as a precise chronicler of minute impressions, and of the growth of an intellectually precocious mind, Roth's only equal is James Joyce. After its publication in 1934 Call It Sleep sank from view for 30 years, before a new edition became a bestseller in the 1960's. It will never be forgotten again.";Pre-orders;5.00
18;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_catch-22.jpg?w=260;img/book_title/18;Joseph Heller;1961;Catch-22;Captain John Yossarian is a bomber pilot who's just trying to make it through WWII alive. But the only excuse the Army will accept for refusing to fly a mission is insanity, and if Yossarian refuses to fly he is, by definition, sane. This is the self-devouring logical worm that lies at the heart of Catch-22, the story of Yossarian, his colleagues who respond to the horrors of war with a range of seriocomic neuroses and psychoses and his superiors, who respond to the horrors of war by sending Yossarian on ever more pointless and dangerous missions for the purpose of enhancing their own reputations. Catch-22 is a bitter, anguished joke of a novel that embraces the existential absurdity of war without ever quite succumbing to it.;Pre-orders;9.25
19;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_catcher-in-the-rye-red-cover.jpg?w=260;img/book_title/19;J.D. Salinger;1951;The Catcher in the Rye;No matter how many high school English teachers try to domesticate The Catcher in the Rye in class, it will never lose its satirical edge. When Holden Caulfield learns he's going to be kicked out of yet another private school, he bails in the middle of the night ('Sleep tight, ya morons!' he yells) and heads to New York City to bum around for a few days   hitting on girls, thinking about his dead brother, worrying about where the ducks go in the wintertime   before he deals with his parents. The time passes in an agony of anhedonia that transcends the merely adolescent: It's a permanent reminder of the sweetness of childhood, the hypocrisy of the adult world, and the strange no-man's-land that lies in between.;New;7.30
20;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_clockworkorange.jpg?w=260;img/book_title/20;Anthony Burgess;1963;A Clockwork Orange;Like 1984, this is a book in which an entire social order is implied through language. And what language! To hint at the vile universe of the 15-year-old delinquent Alex and his murderous buddies, Burgess created 'nadsat,' a rich futuristic patois. 'Sinny' for 'cinema.' 'Viddy' for 'see,' 'horrorshow' for 'good'   from the Russian, khorosho, which gives you some idea of which political system has prevailed. The words locate him in a world of corrupted values, violence and boundless infantile indulgence. (His drug is 'milk plus.') When Alex is apprehended by the authorities and subjected to psychological conditioning to make him nauseated at any impulse towards violence, Burgess's book becomes a meditation on whether a world in which evil can be freely chosen might still be preferable to one in which goodness is compelled. Stanley Kubrick's coldly magnificent 'sinny' adaptation has sometimes threatened to overshadow this great novel. Don't let it happen.;Pre-orders;11.50
21;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_confessionsofnatturner1st.jpg?w=260;img/book_title/21;William Styron;1967;The Confessions of Nat Turner;It's a novel that has its sources in history   the only sustained slave revolt in American history, an 1831 uprising led by Turner, an educated slave who led a group of fellow escapees on a bloody trail through southeastern Virginia. Before they were stopped, just short of seizing an arsenal, they had killed about 60 whites. And before he was hanged, Turner dictated a final testament, a document that still exists. But Styron's book is not that one. It's an invented version of that text, one ringed with bitterness and fire. He plumbs the mind of a man who believed himself ordained to slaughter whites in retribution for the ordeals of slavery, but who found himself nearly incapable of putting in the blade. Turner as Styron imagines him is not a plaster saint, not a cardboard monster. He's a man, one whose ferocious yearnings were formed in the cauldron of a hateful institution.;New;22.25
22;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_corrections.jpg?w=260;img/book_title/22;Jonathan Franzen;2001;The Corrections;If family is a machine for making you crazy, has there ever been a machine better oiled than the Lamberts? The elderly father, Alfred, is a retired railway engineer sliding into the mental and physical chaos of Parkinson's disease. Wife Enid fashions ever more ingenious varieties of denial. Son Chip is helping con men in Lithuania. His brother Gary is consoling himself with booze for the miseries of his own disintegrating home life. Their sister Denise, in the time she can spare from her career as a celebrity chef, makes reckless thrusts into other people's marriages. Their miseries are an opening onto the larger discontents of the society that they we live in, but Franzen keeps his terrible focus on the family. This can be a very funny book in places, but the laughs come hard, very hard.;New;18.00
23;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_crying-of-lot-49_1st.jpg?w=260;img/book_title/23;Thomas Pynchon;1966;The Crying of Lot 49;Summoned to serve as executor for the will of her ultra-rich former lover, Oedipa Maas is led into the mystery of Trystero, a shadowy band of, of   of what exactly? They have operated for centuries, connecting the dispossesed, the discontented and the strung out by way of their secret underground postal system, a network that may also serve other ends. As she wanders through California in the mid-1960's, trying to unravel their secret, Oedipa senses for the first time a larger, weirder universe of the disinherited, a scampering, fugitive reality just beneath the placid surface of what she thinks she knows. With its slapstick paranoia and its heartbreaking metaphysical soliloquies, Lot 49 takes place in the tragicomic universe that is instantly recognizable as Pynchon-land. Is it also a mystery novel? Absolutely, so long as you remember that the mystery here is the one at the heart of everything.;New;14.99
24;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_dance-to-the-music-of-time.jpg?w=260;img/book_title/24;Anthony Powell;1951;A Dance to the Music of Time;The words 'twelve-novel cycle' don't exactly inspire readerly zeal in most people, but once you catch the rhythm of Powell's dodecahedral masterpiece it's hard to put it down. Beginning in the 1920's, A Dance to the Music of Time follows the lives of a group of English friends and acquaintances as they make their various ways through life: meeting and parting, succeeding and failing, loving and hating, living and dying. There is ample room for both comedy and tragedy in this capacious, large-hearted work, but Powell's real triumph is the way he catches the rhythm of fate itself, the way it brings people together, only to spin them apart, then reunite them later as near-strangers, transformed in unexpected ways by the intervening years.;New;15.00
25;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_dayofthelocust.jpg?w=260;img/book_title/25;Nathanael Wes;1939;The Day of the Locust;Nathanael West's Hollywood novel takes place mostly at the margins of the movie kingdom, the universe of set painters and extras, frustrated small-timers, hangers-on and oddities. There are prostitutes here, transplanted Eskimos, a failed comic who sells silver polish door to door so that he can force luckless customers to watch his act. No one in this book has found the promise that California was supposed to offer, and at the end their anger and resentments collect into a riot in the streets that is the sum of their individual discontents. 'They realize that they've been tricked and burn with resentment…. The sun is a joke. Oranges can't titillate their jaded palates. Nothing can ever be violent enough to make taut their slack minds and bodies.' This was West's last novel. He died the following year in a car accident, at age 37, rushing to the funeral of F. Scott Fitzgerald. How he would have loved that last grotesque detail.;Pre-orders;12.80
26;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_deathcomestothearchbishop.jpg?w=260;img/book_title/26;Willa Cather;1927;Death Comes for the Archbishop;Cather at her most matter-of-fact and, as a consequence, her most powerful. She based this book on the life of Bishop Jean Baptiste L'Amy   she calls him Father Latour   the French-born Ohio cleric who was assigned by the church to rebuild the faith in New Mexico after the territory was annexed by the U.S. in 1831. With an old friend, Father Vaillant, Latour sets out for Santa Fe. He will find the church there to be fragmented and corrupt, with priests taking wives and charging exorbitant fees to perform marriages. Latour embarks on a decades-long effort to reform and reinvigorate the diocese. The style and structure of this book are strange, unemphatic, as if Cather had simply laid the scenes side by side in a tapestry. She compared the book to a legend, in which no event is given much dramatic weight. If this sounds like a formula for boredom, it's not. Her serene language, with its immemorial simplicity, gives the story a weight mere drama could never provide.;New;6.99
27;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_deathinfamily.jpg?w=260;img/book_title/27;James Agee;1958;A Death in the Family;Agee was a poet, a penetrating film critic for TIME and other magazines, an intricate public conscience, and a man who carried all his life the burden of his father's death in a car accident when Agee was six. (Forty years later to the day Agee would die of a heart attack.) He brought all of that, both his gifts and his psychic injuries, to this grave and lyrical story of Rufus Follet, a boy whose world is upended by his father's sudden death in an auto accident. What this book lacks in form it more than makes up for in subtly delineated feeling. Agee's forgiving embrace of the deeply imperfect people he describes, a kind of Whitmanesque tenderness, stays with you a long time.;New;11.00
28;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_death-of-the-heart.jpg?w=260;img/book_title/28;Elizabeth Bowen;1958;The Death of the Heart;Portia Quayne is that most dangerous commodity, an innocent child. At 16, after years of dragging around European hotels with her parents, she's been orphaned. She finds herself now in the care of her prosperous older half brother and his reluctant wife. What they and their heedless friends will show to Portia is the disenchanted kingdom of adulthood. But Bowen's real genius was in recognizing what Portia will show to them. In the mirror of her innocent eyes, experience will catch a glimpse of its own reflection. It's not a pretty picture.;New;8.99
29;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_deliverance.jpg?w=260;img/book_title/29;James Dickey;1970;Deliverance;Four friends set out on a canoe trip through backwoods Georgia   a lark, a weekend's diversion, a blissful, beery break from their day jobs. But their itinerary unexpectedly swings into darker territory when they meet a gang of savage, sodomitical mountain men, and by the time they emerge again most of them from the wilderness, they have been through some of the blackest terrain, both geographical and spiritual, since Marlowe went up the river in Conrad's Heart of Darkness. Though it's been partially eclipsed by the movie version you know it for that 'Dueling Banjos' scene the original Deliverance is a visceral, dangerous thriller packed with forbidden knowledge.;Pre-orders;7.00
30;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_dog-soldiers_1st.jpg?w=260;img/book_title/30;Robert Stone;1974;Dog Soldiers;A weird current pulses through this book. The tale of a heroin deal gone very bad, it's also a merciless picture of America at the ragged end of the Vietnam era. John Converse is a journalist preparing to head home from Saigon when he's persuaded to join a dope-smuggling scheme. Once back in California, he's ambushed by a pair of ex-cons in the service of a corrupt federal drug agent who wants to pocket the drugs. The hapless goons, who also indulge in occasional sex with each other, drag Converse on a trek across the Southwest in search of the strung-out intriguers who are actually holding the stuff. Those would be Converse's wife Marge, who's blandly stupefied by prescription drugs, and his sad-sack confederate Hicks. Do we need to tell you it all ends badly? Or that the heroin is a stand-in for Vietnam? It's the poison that came home, like the war, to pollute an already bleak and sawtoothed social landscape. Bleakness is all in Stone's world, which is unrelenting and unforgettable.;New;5.50
31;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_falconer_1st.jpg?w=260;img/book_title/31;John Cheever;1977;Falconer;A story of suffering and redemption, told in Cheever's fullest register. Ezekiel Farragut, university professor, family man, drug addict, is in Falconer State Prison for having killed his brother with a poker. In this shabby purgatory, he struggles with his memories, his guilt, and his need to remain human in a dehumanizing place, until an affair with a fellow prisoner reawakens his ability to love, even if the young man is a cynical operator and love is just another burden to bear. In some ways this book represented Cheever going far afield from the suburbs where he had made his name. (Not too far: Sing Sing was near his home in Ossining, N.Y. He had taught prisoners there in the early 70's.) But Farragut is not so different from Cheever's lawn-mowing householders. Yearning, wayward, beset by anger and need he's just a Cheever character in extremis. He suffers beautifully, but he suffers to a purpose. When he finds a rapprochement with the world, however tenuous, it speaks to the prisoner in us all.;New;15.00
32;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_french-lieutenants-woman.jpg?w=260;img/book_title/32;John Fowles;1969;The French Lieutenant's Woman;"A magnificent game of a novel, one in which the brilliant postmodern contrivances actually add to the poignancy of its anguished Victorian characters. Charles Smithson is an amateur paleontologist living on the southwestern coast of England. Ernestina is his drearily upright fiancee. Sarah Woodruff is an enigmatic local governess, said to be pining for a French soldier who has misused her. The fourth major figure in this book is not a character but the author. By no means all-powerful, he discovers early on that he has lost control of his characters and proposes in that case to let them have their freedom. And he means it. The story procedes through alternative episodes   in one Charles marries Ernestina; in another he doesn't   and multiple endings, with the author sometimes turning up to walk among his characters and comment tartly on their actions. In its final pages   don't dare to call them a conclusion; in a book so open-ended, what could that word mean?   he opens a vista onto freedom that's both dazzling and devastating.";Pre-orders;8.99
33;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_goldennotebook.jpg?w=260;img/book_title/33;Doris Lessing;1962;The Golden Notebook;Anna Wulf is a writer who keeps four notebooks, each a different color, each reflecting a different part of her. The black one contains recollections of her youthful wartime years in West Africa, experiences that went into her first novel. In the red one she reflects on her later life in London's leftist and intellectual circles. The blue notebook analyzes her fraught relations with men. The yellow contains her fragmentary attempts at new fiction. With the fifth, the golden notebook, and with The Golden Notebook, Wulf/Lessing struggles to tie all the threads fearlessly back together again. All the currents of her time flow through Anna Marx and Freud and the burgeoning dissatisfactions among women that would eventually explode into feminism. Lessing's earnestness can be too much at times, but as a portrait of a woman coming to grips with the realities of her time her book is indispensable.;New;16.00
34;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_gotellitonthemountain1st.jpg?w=260;img/book_title/34;James Baldwin;1953;Go Tell it on the Mountain;For his ferocious debut novel, Baldwin reached back to his experiences as a teenage Pentecostal preacher in Harlem and set them down in language steeped in the high and mighty rhetoric of Scripture. At age 14 John Grimes is bedeviled by the new stirrings in 'his treacherous and bewildering body' and resentful of his preacher stepfather, once an energetic sinner, whose dual nature is now divided between the dutiful but restless John and John's older brother Roy, another hell-raiser in training. The boys' mother, Elizabeth, labors to keep the passions of her men in check, all the while holding secrets of her own. Their stories run dark and deep, while the fierce music of Baldwin's voice courses through those stories and lends them majesty.;New;25.00
35;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_gone-with-the-wind.jpg?w=260;img/book_title/35;Margaret Mitchell;1936;Gone With the Wind;It's one of the best-selling books ever bound between covers, but that's not what makes Margaret Mitchell's magnificent mint julep of a novel great. The ultimate, original sweeping historical romance, it follows high-spirited Scarlett O'Hara, roguish Rhett Butler and romantic, infinitely good-looking Ashley Wilkes as the world that nurtured them is swept away in the cataclysm of the Civil War. As quintessentially American as Tolkien's The Lord of the Rings is English, Gone with the Wind is a colossally readable romance novel   love stories do not come more triangular but it's also the definitive telling of one of the basic American mythologies: the passing away, in blood and ashes, of the grand old South.;Pre-orders;7.99
36;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_grapes-of-wrath.jpg?w=260;img/book_title/36;John Steinbeck;1939;The Grapes of Wrath;The storms of the great Dust Bowl had barely settled when Steinbeck published The Grapes of Wrath, which follows a family of impoverished 'Okies,' the Joads, as they chase the mirage of a good life westward from their devastated midwestern farm to California. The Joads find only bitterness, squalor and oppression as migrant agricultural workers living in 'Hoovervilles,' but their indomitable strength in the face of an entire continent's worth of adversity makes Steinbeck's epic far more than a history of unfortunate events: It's both a record of its time and a permanent monument to human perseverance.;New;11.00
37;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_gravitys-rainbow.jpg?w=260;img/book_title/37;Thomas Pynchon;1973;Gravity's Rainbow;No, it is not unreadable. For most of its 700-plus pages it's so crazily, scarily, sumptuously readable that you hate to put it aside even as the last paragraph thunders down on your head. The unsummarizable plot centers, to the extent that it centers at all, on Tyrone Slothrop, an American who comes to the attention of British intelligence during World War II when a map indicating the locales of his sexual encounters with London women shows that they correspond with the places struck by German V-2 missiles. Can his erections predict the random distribution of agents of death? From there we proceed into a massive continent-wide effort to construct a V-2, which is itself an occasion for a fantastic multitude of meditations upon the human need to build systems of intellectual order even as we use the same powers of intellect to hasten our destruction. (Did we mention that this is also a comedy, more or less?) Among American writers of the second half of the 20th century, Pynchon is the indisputed candidate for lasting literary greatness. This book is why.;New;8.99
